Time (min),Abs1,Abs2,Abs3,Abs4
0,0.0106975126108889,0.0420073056183684,0      ,0.025918
15,0.171160201774222,0.242042094277266,0.17186,0.29988 
30,0.25378326665507,0.456862062967473,0.38511,0.47034 
40,0.505566185423552,0.593842407375196,0.46965,0.57949 
50,0.552965733170986,0.686467211688989,0.54757,0.65994 
60,0.705600974082449,0.767350843624978,0.72847,0.75431 
70,0.729518177074274,0.844320751435032,0.73822,0.81997 
75,0.819533831970777,0.869107670899287,       ,        
80,0.854757349104192,0.916072360410506,0.83632,0.8852  
85,0.893894590363542,0.950426161071491,       ,        
90,0.98782396938598,0.97216907288224,0.84397,0.92564 
100,1,0.99913028352757,0.90242,0.99043 
