Time (min),Abs1,Abs2,Abs3,Abs4
0,0,0.0855194123819518,0.00083945,0.1553 
0,0,0.0855194123819518,0.00083945,0.1553 
3.87298334620742,0.099685204616999,0.344700944386149,0.25813   ,0.36097
5,0.403462749213012,0.5099685204617,0.36013   ,0.49265
5.91607978309962,0.460650577124869,0.621720881427072,0.45414   ,0.58972
6.70820393249937,0.644805876180483,0.719307450157398,0.6724    ,0.70357
7.41619848709566,0.673662119622246,0.812172088142707,0.68416   ,0.78279
7.74596669241483,0.782266526757608,0.842077649527807,          ,       
8.06225774829855,0.824763903462749,0.898740818467996,0.80252   ,0.86149
8.36660026534076,0.871983210912907,0.940188877229801,          ,       
8.66025403784439,0.985309548793284,0.966421825813221,0.81175   ,0.91028
9.21954445729289,1,0.998950682056663,0.88227   ,0.98846
